,사고번호,사고일시,요일,도로종류,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,연령대,가해연령대
0,2019010100100152,11,화요일,경부,경상북도,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,0,38,상해없음,승용,0,31,경상,30.0,30.0
1,2019010300100238,13,목요일,경부,충청남도,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,기타불명,2,0,기타불명,승용,0,62,경상,20.0,20.0
2,2019010400100022,0,금요일,경부,경기도,경상사고,0,0,2,0,차대차 - 기타,신호위반,포장 - 건조,맑음,단일로 - 기타,승용,0,55,상해없음,승용,0,30,경상,50.0,50.0
3,2019010500100058,2,토요일,경부,경기도,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,0,29,상해없음,승용,1,54,중상,20.0,20.0
4,2019010500100059,2,토요일,경부,경기도,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 서리/결빙,맑음,단일로 - 기타,승용,0,56,상해없음,승용,0,29,경상,50.0,50.0
5,2019010500100361,17,토요일,경부,충청북도,경상사고,0,0,4,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,0,43,상해없음,승용,0,59,경상,40.0,40.0
6,2019010500100404,18,토요일,경부,경상북도,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,0,61,상해없음,승용,0,35,경상,,
7,2019010600100118,10,일요일,경부,경기도,경상사고,0,0,7,3,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,0,48,상해없음,승합,0,41,상해없음,40.0,40.0
8,2019010700100220,12,월요일,경부,경기도,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,0,44,상해없음,승용,1,46,경상,40.0,40.0
9,2019010700100371,17,월요일,경부,경기도,경상사고,0,0,1,2,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,1,33,부상신고,승용,0,56,경상,30.0,30.0
10,2019010800100231,12,화요일,경부,경기도,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,특수,0,46,상해없음,승용,0,54,경상,40.0,40.0
11,2019010900100224,12,수요일,경부,충청북도,경상사고,0,0,2,0,차대차 - 기타,차로위반,포장 - 건조,맑음,단일로 - 기타,기타불명,2,0,기타불명,승용,0,52,상해없음,20.0,20.0
12,2019010900100507,21,수요일,경부,충청남도,경상사고,0,0,3,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,0,38,상해없음,승용,0,29,경상,30.0,30.0
13,2019011000100200,12,목요일,경부,서울특별시,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,0,65,상해없음,승용,1,53,중상,60.0,60.0
